Time (s),Channel 1 (V),Channel 2 (V)
0.006307426381595799,3.023204706891584,2.938803533670656
0.006309276381595798,3.033782688075304,2.948450023183458
0.006311126381595799,3.033782688075306,2.958096512696264
0.006312976381595799,3.044360669259029,2.967743002209069
0.006314826381595798,3.044360669259029,2.967743002209069
0.006316676381595799,3.033782688075306,2.967743002209069
0.006318526381595799,3.033782688075306,2.967743002209068
0.006320376381595798,3.033782688075306,2.958096512696266
0.006322226381595799,3.033782688075306,2.958096512696264
0.006324076381595799,3.033782688075306,2.967743002209069
0.006325926381595798,3.033782688075306,2.967743002209069
0.006327776381595799,3.033782688075306,2.967743002209069
0.006329626381595799,3.033782688075307,2.977389491721874
0.006331476381595798,3.044360669259027,2.977389491721874
0.006333326381595799,3.044360669259029,2.987035981234679
0.006335176381595799,3.044360669259029,2.987035981234679
0.006337026381595798,3.044360669259029,2.987035981234679
0.006338876381595799,3.044360669259029,2.987035981234679
0.006340726381595799,3.033782688075304,2.977389491721874
0.006342576381595798,3.023204706891584,2.977389491721874
0.006344426381595799,3.012626725707859,2.958096512696264
0.006346276381595799,3.002048744524136,2.958096512696264
0.006348126381595798,3.002048744524136,2.958096512696264
0.006349976381595799,3.012626725707859,2.958096512696264
0.006351826381595799,3.023204706891582,2.977389491721874
0.006353676381595798,3.023204706891582,2.977389491721874
0.006355526381595799,3.033782688075306,2.977389491721874
0.006357376381595799,3.023204706891582,2.977389491721873
0.006359226381595798,3.023204706891582,2.967743002209071
0.006361076381595799,3.023204706891582,2.967743002209069
0.006362926381595799,3.01262672570786,2.967743002209069
0.006364776381595798,3.023204706891581,2.967743002209069
0.006366626381595799,3.023204706891582,2.967743002209069
0.006368476381595799,3.01262672570786,2.967743002209071
0.006370326381595798,3.023204706891581,2.977389491721873
0.006372176381595799,3.023204706891582,2.977389491721874
0.006374026381595799,3.023204706891582,2.977389491721874
0.006375876381595798,3.023204706891582,2.977389491721874
0.006377726381595799,3.023204706891582,2.977389491721874
0.006379576381595799,3.023204706891581,2.977389491721873
