Freq.	V(vin)/I(R1)
1.51356124843620e+004	(6.89229116824874e+001dB,-1.71728322185143e+002°)
1.54881661891248e+004	(6.89359753645138e+001dB,-1.71556998622240e+002°)
1.58489319246111e+004	(6.89495803585344e+001dB,-1.71383079688123e+002°)
1.62181009735893e+004	(6.89637457512222e+001dB,-1.71206590079754e+002°)
1.65958690743756e+004	(6.89784910084137e+001dB,-1.71027559597810e+002°)
1.69824365246174e+004	(6.89938359554198e+001dB,-1.70846023433389e+002°)
1.73780082874937e+004	(6.90098007542936e+001dB,-1.70662022459423e+002°)
1.77827941003892e+004	(6.90264058778699e+001dB,-1.70475603525758e+002°)
1.81970085860998e+004	(6.90436720803935e+001dB,-1.70286819756711e+002°)
1.86208713666286e+004	(6.90616203645574e+001dB,-1.70095730849781e+002°)
1.90546071796324e+004	(6.90802719447767e+001dB,-1.69902403374014e+002°)
1.94984459975804e+004	(6.90996482065335e+001dB,-1.69706911066388e+002°)
1.99526231496887e+004	(6.91197706616383e+001dB,-1.69509335124386e+002°)
2.04173794466952e+004	(6.91406608992674e+001dB,-1.69309764492773e+002°)
2.08929613085403e+004	(6.91623405326516e+001dB,-1.69108296142441e+002°)
2.13796208950222e+004	(6.91848311413123e+001dB,-1.68905035338962e+002°)
2.18776162394954e+004	(6.92081542087646e+001dB,-1.68700095898403e+002°)
2.23872113856833e+004	(6.92323310556311e+001dB,-1.68493600427703e+002°)
2.29086765276777e+004	(6.92573827681454e+001dB,-1.68285680546853e+002°)
2.34422881531991e+004	(6.92833301220523e+001dB,-1.68076477089894e+002°)
2.39883291901948e+004	(6.93101935019558e+001dB,-1.67866140281684e+002°)
2.45470891568502e+004	(6.93379928162018e+001dB,-1.67654829887243e+002°)
2.51188643150957e+004	(6.93667474074320e+001dB,-1.67442715330399e+002°)
2.57039578276885e+004	(6.93964759589920e+001dB,-1.67229975778401e+002°)
2.63026799189537e+004	(6.94271963974282e+001dB,-1.67016800189133e+002°)
2.69153480392691e+004	(6.94589257913634e+001dB,-1.66803387317552e+002°)
2.75422870333816e+004	(6.94916802470989e+001dB,-1.66589945678005e+002°)
2.81838293126444e+004	(6.95254748013479e+001dB,-1.66376693459172e+002°)
2.88403150312660e+004	(6.95603233115671e+001dB,-1.66163858388466e+002°)
2.95120922666637e+004	(6.95962383444147e+001dB,-1.65951677542924e+002°)
3.01995172040200e+004	(6.96332310629215e+001dB,-1.65740397103792e+002°)
3.09029543251358e+004	(6.96713111130254e+001dB,-1.65530272052297e+002°)
3.16227766016837e+004	(6.97104865101738e+001dB,-1.65321565804398e+002°)
3.23593656929627e+004	(6.97507635267575e+001dB,-1.65114549782679e+002°)
3.31131121482590e+004	(6.97921465811875e+001dB,-1.64909502923947e+002°)
3.38844156139201e+004	(6.98346381294733e+001dB,-1.64706711121589e+002°)
3.46736850452530e+004	(6.98782385602037e+001dB,-1.64506466602234e+002°)
3.54813389233574e+004	(6.99229460938591e+001dB,-1.64309067236828e+002°)
3.63078054770100e+004	(6.99687566874147e+001dB,-1.64114815786840e+002°)
3.71535229097171e+004	(7.00156639452041e+001dB,-1.63924019086942e+002°)
3.80189396320560e+004	(7.00636590370216e+001dB,-1.63736987166164e+002°)
3.89045144994279e+004	(7.01127306244345e+001dB,-1.63554032310215e+002°)
3.98107170553496e+004	(7.01628647962596e+001dB,-1.63375468068359e+002°)
4.07380277804111e+004	(7.02140450141285e+001dB,-1.63201608208923e+002°)
4.16869383470334e+004	(7.02662520690257e+001dB,-1.63032765628216e+002°)
4.26579518801591e+004	(7.03194640496272e+001dB,-1.62869251218317e+002°)
4.36515832240164e+004	(7.03736563232023e+001dB,-1.62711372699824e+002°)
4.46683592150961e+004	(7.04288015297627e+001dB,-1.62559433426290e+002°)
4.57088189614873e+004	(7.04848695900487e+001dB,-1.62413731167621e+002°)
4.67735141287196e+004	(7.05418277278471e+001dB,-1.62274556880217e+002°)
4.78630092322636e+004	(7.05996405070160e+001dB,-1.62142193472088e+002°)
4.89778819368444e+004	(7.06582698834797e+001dB,-1.62016914571513e+002°)
5.01187233627270e+004	(7.07176752723200e+001dB,-1.61898983308130e+002°)
5.12861383991362e+004	(7.07778136299655e+001dB,-1.61788651115470e+002°)
5.24807460249770e+004	(7.08386395513339e+001dB,-1.61686156564104e+002°)
5.37031796370250e+004	(7.09001053816472e+001dB,-1.61591724234492e+002°)
5.49540873857622e+004	(7.09621613424950e+001dB,-1.61505563638569e+002°)
5.62341325190346e+004	(7.10247556715819e+001dB,-1.61427868198841e+002°)
5.75439937337154e+004	(7.10878347754575e+001dB,-1.61358814293446e+002°)
5.88843655355586e+004	(7.11513433943931e+001dB,-1.61298560375231e+002°)
6.02559586074355e+004	(7.12152247784473e+001dB,-1.61247246172345e+002°)
6.16595001861479e+004	(7.12794208736418e+001dB,-1.61204991977254e+002°)
6.30957344480190e+004	(7.13438725170631e+001dB,-1.61171898030357e+002°)
6.45654229034652e+004	(7.14085196396116e+001dB,-1.61148044003634e+002°)
